Date,Close/Last,Volume,Open,High,Low
01/04/2022,$140.34,590316,$138.69,$141.525,$138.56
01/03/2022,$137.93,417828,$140.76,$141.1,$136.59
12/31/2021,$140.2,556354,$139.25,$141.29,$138.72
12/30/2021,$139.38,350571,$139.6,$140.5088,$139.09
12/29/2021,$139.6,303291,$138.81,$140.1204,$138.235
12/28/2021,$138.05,360700,$137.42,$138.58,$137.42
12/27/2021,$137.71,312514,$136.28,$137.98,$136.07
12/23/2021,$135.37,307493,$135.88,$137.0028,$135.36
12/22/2021,$135.25,471491,$134.65,$135.63,$134.35
12/21/2021,$134.35,730002,$132.85,$134.97,$132.37
12/20/2021,$131.36,551540,$131.94,$131.94,$129.08
12/17/2021,$133.25,1864511,$136.44,$136.44,$132.89
12/16/2021,$136.01,789722,$133.89,$137.12,$133.036
12/15/2021,$133.02,703054,$131.72,$133.06,$131.24
12/14/2021,$131.9,464020,$132.4,$132.86,$131.65
12/13/2021,$132.51,502210,$134.82,$134.82,$131.65
12/10/2021,$134.83,433300,$135.07,$135.29,$133.77
12/09/2021,$134.18,533634,$133.94,$135.34,$133.35
12/08/2021,$133.97,758036,$133.98,$134.66,$132.99
12/07/2021,$133.79,1018608,$132.93,$134.73,$132.64
12/06/2021,$131.96,656004,$130.79,$133,$130.25
12/03/2021,$129.18,534934,$130.67,$130.67,$128.22
12/02/2021,$129.87,979774,$126.42,$130.87,$126.42
12/01/2021,$126.38,734402,$130.02,$130.6,$126.37
11/30/2021,$127.74,1721054,$131.86,$132.68,$127.58
11/29/2021,$132.91,831923,$133.35,$134.25,$131.96
11/26/2021,$132.38,353914,$133.64,$133.74,$132
11/24/2021,$136.36,373153,$137.22,$137.57,$136.33
11/23/2021,$137.86,645373,$137.04,$138.3,$136.5
11/22/2021,$136.86,608424,$135.51,$139.11,$135.51
11/19/2021,$135.24,747773,$135.89,$136.24,$134.34
11/18/2021,$136.03,845863,$137.64,$137.64,$135.47
11/17/2021,$136.74,421278,$137.15,$137.21,$135.67
11/16/2021,$136.85,437720,$136.89,$138.23,$136.55
11/15/2021,$137.01,544834,$136.6,$137.16,$135.7
11/12/2021,$135.92,300007,$135.4,$136.26,$134.97
11/11/2021,$135.12,352655,$134.38,$135.5256,$134.1625
11/10/2021,$134.19,413342,$134.41,$135.8,$133.94
11/09/2021,$134.73,460920,$134.54,$135.69,$134.2
11/08/2021,$135.12,400033,$137.03,$137.03,$134.71
11/05/2021,$136.36,525880,$135.11,$136.73,$135.11
11/04/2021,$133.74,608776,$134.76,$135.79,$133.055
11/03/2021,$134.21,400408,$133.8,$135.04,$133.57
11/02/2021,$133.92,498356,$132.19,$134.525,$131.72
11/01/2021,$131.73,498776,$131.93,$131.93,$130.57
10/29/2021,$131.11,777701,$131.64,$132.21,$130.07
10/28/2021,$131.64,527828,$132.67,$133.29,$130.33
10/27/2021,$132.43,526035,$134.56,$134.56,$132.375
10/26/2021,$134.56,711601,$134.07,$135.36,$133.11
10/25/2021,$133.54,773123,$133.48,$133.99,$132.16
10/22/2021,$133.03,807652,$135.15,$137.15,$132.55
10/21/2021,$134.51,1178317,$129.5,$135.5494,$129.09
10/20/2021,$129.65,608794,$128.04,$129.94,$128.04
10/19/2021,$127.79,398505,$127.7,$128.46,$127.2552
10/18/2021,$126.78,425063,$126.45,$127.91,$126
10/15/2021,$127.19,358396,$128.34,$128.75,$127.11
10/14/2021,$127.34,419143,$125.16,$127.51,$124.76
10/13/2021,$124.17,462125,$124.96,$125.5,$123.4
10/12/2021,$125.14,386786,$126.1,$126.93,$124.825
10/11/2021,$126.18,371824,$126.1,$127.45,$125.715
10/08/2021,$126.04,329388,$125.37,$126.71,$125.02
10/07/2021,$125.39,518907,$124.31,$125.985,$124.31
10/06/2021,$123.17,506823,$122.27,$123.66,$120.87
10/05/2021,$123.68,623668,$122.43,$124.51,$121.5886
10/04/2021,$122.37,585291,$122.08,$124.16,$121.46
10/01/2021,$121.82,494623,$121.65,$122.87,$118.62
09/30/2021,$121.23,728102,$124.5,$124.5,$121.19
09/29/2021,$124.16,336658,$123.8,$124.78,$123.35
09/28/2021,$123.2,404793,$125.23,$125.42,$122.825
09/27/2021,$124.65,472720,$123.73,$124.68,$123.73
09/24/2021,$123.02,359654,$122.91,$123.84,$122.55
09/23/2021,$123.4,557137,$123.19,$124.39,$123.07
09/22/2021,$122.34,480098,$122.11,$123.4,$121.28
09/21/2021,$121.11,476607,$121.54,$122.19,$120.25
09/20/2021,$120.53,593252,$120.16,$120.86,$119.06
09/17/2021,$122,1030250,$123.67,$124.31,$121.92
09/16/2021,$124.19,651830,$124.25,$125.11,$123.55
09/15/2021,$124.15,1075623,$119.74,$124.59,$119.18
09/14/2021,$120,740919,$119,$120.09,$117.72
09/13/2021,$119.21,614058,$119.37,$120.17,$118.59
09/10/2021,$118.38,807905,$119.86,$120.09,$118.18
09/09/2021,$119.19,723741,$119.4,$120.92,$119.01
09/08/2021,$119.82,504682,$120.05,$120.79,$119.265
09/07/2021,$120.12,442433,$121.89,$121.97,$120.05
09/03/2021,$122.18,432062,$122.3,$122.94,$121.69
09/02/2021,$122.49,527332,$122.32,$122.84,$121.47
09/01/2021,$122.96,590984,$122.64,$123.2,$121.04
08/31/2021,$122.19,786304,$123.94,$124,$121.72
08/30/2021,$123.64,268385,$124.08,$124.48,$123.5308
08/27/2021,$123.66,409762,$122.87,$123.945,$122.63
08/26/2021,$122.72,333925,$124.55,$124.55,$122.67
08/25/2021,$124.74,548465,$123.19,$125.57,$122.97
08/24/2021,$123.23,558135,$122.52,$123.92,$122.39
08/23/2021,$122.53,357489,$124.57,$124.57,$122.52
08/20/2021,$123.82,439716,$122.5,$124.23,$122.5
08/19/2021,$122.5,435798,$122.42,$123.76,$121.8
08/18/2021,$123.48,559452,$123.145,$125.29,$123
08/17/2021,$123.67,437676,$125,$125,$122.3
08/16/2021,$125.93,461021,$124.2,$126.065,$123.105
08/13/2021,$124.64,433786,$125.25,$125.33,$124.27
08/12/2021,$125.27,330213,$125.92,$126.03,$124.59
08/11/2021,$125.74,376383,$124.78,$125.92,$123.98
08/10/2021,$124.77,406593,$123.77,$125.28,$123.6
08/09/2021,$123.97,438817,$123.74,$124.43,$123.32
08/06/2021,$124.28,550566,$125.41,$125.765,$123.71
08/05/2021,$124.19,518237,$125.59,$126.22,$123.29
08/04/2021,$124.89,454384,$127.22,$127.66,$124.88
08/03/2021,$128.16,613812,$127.16,$128.63,$126
08/02/2021,$126.46,627229,$127.87,$128.94,$126.05
07/30/2021,$126.92,1766562,$127.51,$128.5036,$126.38
07/29/2021,$127.92,741071,$127.04,$128.31,$126.51
07/28/2021,$126.05,642699,$129.04,$129.27,$126
