7.29,25.93,19.66,nan,23.42,2.83,3.86,191.73,1.0
6.64,26.86,21.43,nan,21.51,2.48,3.72,165.53,1.0
6.02,24.91,26.91,nan,24.39,2.58,4.01,163.16,1.0
4.32,22.88,16.24,nan,19.65,1.89,4.37,124.82,1.0
4.41,25.57,16.98,12.89,22.03,2.46,3.91,122.67,1.0
3.33,18.44,13.11,6.62,16.89,2.58,5.42,102.12,1.0
3.5,17.51,13.79,6.34,15.82,2.01,5.71,107.04,0.0
3.26,16.46,12.92,5.78,14.86,1.62,6.08,99.74,1.0
0.79,323.97,9.17,4.81,17.42,2.46,0.31,18.4,1.0
0.81,19.49,16.15,4.24,17.99,2.99,5.13,19.21,0.0
0.77,19.32,11.8,3.88,15.95,1.17,5.18,16.57,1.0
0.89,21.26,18.85,4.12,17.67,1.41,4.7,14.86,0.0
0.94,20.64,14.3,4.27,19.12,2.13,4.85,14.76,1.0
0.85,18.51,12.0,4.08,17.36,2.12,5.4,13.32,1.0
1.1,23.68,20.38,4.67,21.19,2.61,4.22,17.02,0.0
0.95,18.65,13.25,4.07,17.57,2.23,5.36,13.31,1.0
0.76,15.36,10.97,3.28,14.03,2.31,6.51,9.98,1.0
0.9,52.85,10.34,0.98,28.09,2.66,1.89,234.45,1.0
1.14,20.28,9.32,1.56,17.79,3.48,4.93,337.24,0.0
1.05,12.53,8.36,1.52,13.05,3.11,7.98,323.29,1.0
1.45,27.24,11.78,1.95,20.92,0.93,3.67,390.74,0.0
1.73,42.18,19.78,2.19,22.08,3.58,2.37,415.34,0.0
1.15,16.45,9.83,1.9,22.03,nan,6.08,353.98,1.0
0.96,11.63,8.32,2.15,15.31,4.92,8.6,405.25,0.0
1.06,13.21,9.42,2.59,12.15,4.68,7.57,454.69,0.0
0.88,8.92,7.13,2.35,10.09,1.96,11.21,391.65,1.0
1.49,6.98,5.56,0.95,9.49,nan,14.32,33.06,1.0
1.83,13.03,7.09,1.31,11.96,nan,7.67,40.46,0.0
1.62,7.2,5.75,1.48,10.85,nan,13.89,36.26,1.0
1.6,12.76,5.47,1.56,12.84,nan,7.84,34.83,1.0
1.33,11.05,4.75,1.24,10.79,nan,9.05,28.9,1.0
1.25,10.49,3.9,1.47,9.46,1.26,9.53,26.91,1.0
1.22,9.58,3.51,1.51,9.67,1.93,10.44,28.92,0.0
1.28,10.2,2.94,2.09,9.87,1.97,9.81,32.89,0.0
0.98,8.69,1.67,1.56,7.62,1.52,11.5,27.16,1.0
1.2,19.05,4.62,1.17,9.07,nan,5.25,376.12,0.0
1.57,17.52,5.88,1.55,10.85,4.61,5.71,464.38,0.0
1.13,5.43,4.41,1.13,8.06,1.73,18.43,382.58,1.0
1.5,18.6,6.1,1.91,12.92,2.12,5.38,353.46,0.0
1.61,18.02,6.86,2.11,14.25,3.03,5.55,380.5,0.0
1.34,38.23,5.73,1.74,11.96,2.88,2.62,332.18,1.0
1.34,10.34,5.25,1.88,13.44,2.49,9.68,247.4,1.0
1.5,24.42,5.16,2.14,13.11,1.2,4.1,258.61,0.0
1.54,26.97,5.01,2.04,13.04,1.09,3.71,253.12,0.0
1.01,23.41,8.95,6.64,20.79,1.79,4.27,97.22,1.0
0.86,20.58,10.22,5.63,18.28,1.67,4.86,77.88,1.0
0.48,11.02,5.88,3.11,11.7,1.79,9.08,47.35,1.0
0.52,13.74,5.14,3.18,14.84,5.88,7.28,45.37,0.0
0.61,13.35,8.8,3.67,13.26,1.63,7.49,52.17,0.0
0.63,16.1,7.56,3.37,15.5,1.29,6.21,55.53,0.0
0.66,31.9,12.7,2.95,24.57,4.5,3.14,61.88,0.0
0.55,17.01,6.08,2.48,14.93,1.32,5.88,54.07,1.0
0.55,13.15,6.81,2.35,11.36,1.2,7.61,54.09,1.0
2.65,28.08,22.59,3.92,26.67,5.2,3.56,24.74,1.0
2.59,25.06,26.65,4.07,26.18,6.33,3.99,23.68,1.0
2.43,22.95,18.69,4.07,23.98,3.8,4.36,22.98,1.0
2.14,23.18,19.42,3.9,20.96,3.4,4.31,19.08,1.0
1.98,21.23,19.02,4.14,20.7,3.62,4.71,18.24,1.0
2.31,31.13,21.56,5.23,27.4,4.38,3.21,20.98,0.0
1.51,23.36,18.85,3.81,21.19,2.6,4.28,13.65,1.0
1.39,23.16,19.14,3.6,18.98,1.87,4.32,11.73,1.0
1.02,16.78,16.21,2.91,14.29,1.69,5.96,7.72,1.0
1.51,nan,11.24,1.23,31.65,0.82,-7.27,190.5,1.0
1.57,17.29,7.44,1.46,17.15,8.24,5.78,247.92,0.0
1.34,14.64,7.51,1.35,12.52,1.1,6.83,233.37,1.0
1.84,36.5,13.04,1.63,25.19,nan,2.74,273.1,0.0
2.04,nan,16.28,1.52,29.41,1.56,-0.68,260.1,1.0
1.17,19.51,7.89,1.09,29.76,nan,5.12,192.01,1.0
1.01,10.33,6.04,1.35,16.47,9.15,9.68,222.08,0.0
1.09,10.22,6.49,1.65,9.97,6.56,9.78,239.03,0.0
0.92,8.12,5.47,1.54,8.54,5.18,12.32,200.79,1.0
0.81,37.72,5.57,1.56,17.86,nan,2.65,18.32,1.0
0.73,9.62,6.62,1.63,15.31,nan,10.39,19.41,0.0
0.69,7.91,7.56,1.62,8.85,16.7,12.64,18.19,1.0
1.07,18.76,15.48,2.38,14.16,nan,5.33,22.98,0.0
1.21,37.2,12.12,2.46,18.08,1.91,2.69,20.97,1.0
0.72,20.67,5.94,1.66,19.49,1.96,4.84,15.23,1.0
0.75,23.36,14.01,2.02,16.21,0.49,4.28,18.67,0.0
0.92,37.59,17.75,2.23,21.6,0.76,2.66,19.64,0.0
0.71,27.32,11.44,1.79,15.63,0.96,3.66,16.21,1.0
17.45,44.69,24.56,2.3,59.17,5.43,2.24,89.78,1.0
17.63,31.5,26.81,2.51,45.66,3.77,3.17,67.25,1.0
